compound_id	pert_id	smiles	SAFE
erythromycin-estolate	BRD-K39746403	CCC(=O)OC1C(OC2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC2(C)O)OC(C)CC1N(C)C	C19C(C)C%10C(C)C(=O)OC%12C(C)(O)C(O)C(C)C(=O)C(C)CC1(C)O.C17CC5(C)C(O)C(C)O1.C18C%11CC(C)OC16.CCC4=O.N%11(C)C.O48.O69.O7%10.O5C.C%12C
VU-0366037-2	BRD-K39823328	O=C(Nc1ccc(NC(=O)c2ccccc2Cl)c(Cl)c1)c1ccccn1	c15ccc6c(Cl)c1.c18ccccc1Cl.c17ccccn1.O=C37.C48=O.N35.N46
loxapine	BRD-K39915878	CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1	CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
ochratoxin-a	BRD-K39944607	CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1	CC1Cc2c(Cl)cc6c(O)c2C(=O)O1.C5(C7)C(=O)O.c17ccccc1.C46=O.N45
doconexent	BRD-K39965020	CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O	C=6CCC(=O)O.C=1CC=2.C=2CC=3.C=3CC=4.C=4CC=5.C=5CC=6.CCC=1
loteprednol	BRD-K39983086	CCOC(=O)OC1(C(=O)OCCl)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C	C19%10CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C.C56=O.C7%10=O.O7CCl.CC8.O58.O69
bisacodyl	BRD-K39987650	CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1	c15ccc8cc1.c19ccc6cc1.c17ccccn1.CC3=O.C789.C4(C)=O.O35.O46
torin-1	BRD-K40175214	CCC(=O)N1CCN(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1	n1%11c(=O)ccc2cnc3ccc%12cc3c21.c1%12cnc2ccccc2c1.c19ccc%11cc1%10.N18CCN9CC1.CCC8=O.C%10(F)(F)F
SAL-1	BRD-K40213712	O=c1[nH]c(=O)c2nc3ccccc3nc2[nH]1	O=c1[nH]c(=O)c2nc3ccccc3nc2[nH]1
vinburnine	BRD-K40227168	CCC12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)C32	C126CCCN3CCc4c(n(c5ccccc45)C(=O)C1)C32.CC6
tyrphostin-A9	BRD-K40255344	CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O	c13cc(C=2)cc4c1O.C=2(C#N)C#N.CC3(C)C.C4(C)(C)C
hyoscyamine	BRD-K40530731	CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	CN1C2CCC1CC4C2.C3(=O)C5CO.c15ccccc1.O34
GR-79236	BRD-K40578143	OCC1OC(n2cnc3c(NC4CCCC4O)ncnc32)C(O)C1O	n18cnc2c5ncnc21.C17OC8C(O)C1O.C16CCCC1O.OC7.N56
larixinic-acid	BRD-K40619305	Cc1occc(=O)c1O	Cc1occc(=O)c1O
ZM-39923	BRD-K40624912	CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1	c16ccc2ccccc2c1.c17ccccc1.C4CC6=O.CC3C.N345.C57
mefloquine	BRD-K40645748	OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1	c15cc4nc2c6cccc12.C13CCCCN1.C4(F)(F)F.C6(F)(F)F.OC35
L-165041	BRD-K40656405	CCCc1c(OCCCOc2ccc(OCC(=O)O)cc2)ccc(CC=O)c1O	c19c6ccc%10c1O.c17ccc8cc1.C3CC4.C5C(=O)O.CCC9.C%10C=O.O36.O47.O58
baeomycesic-acid	BRD-K40742111	COc1cc(C)c(C(=O)Oc2cc(C)c(O)c(C(=O)O)c2C)c(O)c1C=O	c14cc(C)c6c(O)c1C=O.c15cc(C)c(O)c7c1C.C36=O.C7(=O)O.CO4.O35
efavirenz	BRD-K40758068	O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1	O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1
QX-222	BRD-K40782193	Cc1cccc(C)c1NC(=O)C[N+](C)(C)C	Cc1cccc(C)c14.C2(=O)C3.[N+]3(C)(C)C.N24
ritanserin	BRD-K40887525	Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1	C=4(c1ccc(F)cc1)c1ccc(F)cc1.Cc1nc2sccn2c(=O)c15.N13CCC=4CC1.C5C3
AR-C133057XX	BRD-K40892394	COc1ccnc(NC2CCN(C(=O)c3ccc(C#N)cc3)CC2)c1	c18ccc(C#N)cc1.c15ccnc6c1.C17CCN4CC1.C48=O.CO5.N67
cinanserin	BRD-K40901640	CN(C)CCCSc1ccccc1NC(=O)C=Cc1ccccc1	c17ccccc15.C=6c1ccccc1.C3CC4.C2(=O)C=6.CN3C.S47.N25
